Specials-1,"Seekest Thou The Road"
Specials-3,"Circle Sewn With Fate Unlock Thy Hidden Gate"
Specials-5,"Through Many Miles Of Tricks And Trials"
Specials-7,"If I Cant Reach You Let My Song Teach You"
Specials-9,"Darkest Hour Wake Thy Power"
Specials-11,"Familiar By Thy Side"
Specials-13,"Deaths Hand In Mine"
Specials-15,"Tba"
Specials-16,"Tba"
