S01E01,"Kassa"
S01E02,"That Would Be Me"
S01E03,"Reckoning"
S01E04,"Aldhani"
S01E09,"The Axe Forgets"
S01E011,"The Eye"
S01E013,"Announcement"
S01E015,"Narkina 5"
S01E017,"Nobodys Listening"
S01E019,"One Way Out"
S01E021,"Daughter Of Ferrix"
S01E023,"Rix Road"
