S01E01,"Kassa"
S01E02,"That Would Be Me"
S01E03,"Reckoning"
S01E04,"Aldhani"
S01E05,"The Axe Forgets"
S01E06,"The Eye"
S01E07,"Announcement"
S01E08,"Narkina 5"
S01E08,"Nobody's Listening!"
S01E10,"One Way Out"
S01E11,"Daughter of Ferrix"
S01E12,"Rix Road"
S02E01,TBA
